Group,Trt,Emerged_Ctrl,Emerged_Trt
Untreated control,Untreated,61,61
Untreated control,Untreated,61,61
Untreated control,Untreated,61,61
Untreated control,Untreated,61,61
Solvent control,Solvent,61,61
Solvent control,Solvent,61,61
Solvent control,Solvent,61,61
Solvent control,Solvent,61,61
Positive control,Actelic,61,0
Positive control,Actelic,61,0
Positive control,Actelic,61,0
Positive control,Actelic,61,0
Ss,2g,61,27
Ss,2g,61,23
Ss,2g,61,23
Ss,2g,61,25
Ss,4g,61,21
Ss,4g,61,22
Ss,4g,61,18
Ss,4g,61,20
Ss,6g,61,18
Ss,6g,61,16
Ss,6g,61,18
Ss,6g,61,16
Ss,8g,61,14
Ss,8g,61,14
Ss,8g,61,15
Ss,8g,61,13
Ss,10g,61,13
Ss,10g,61,10
Ss,10g,61,9
Ss,10g,61,11
Cv,2g,61,37
Cv,2g,61,35
Cv,2g,61,37
Cv,2g,61,34
Cv,4g,61,34
Cv,4g,61,34
Cv,4g,61,36
Cv,4g,61,34
Cv,6g,61,31
Cv,6g,61,32
Cv,6g,61,30
Cv,6g,61,31
Cv,8g,61,29
Cv,8g,61,26
Cv,8g,61,28
Cv,8g,61,28
Cv,10g,61,24
Cv,10g,61,26
Cv,10g,61,22
Cv,10g,61,22
